issn_l,sourcerecord_id,source_title_medline_sourced_journals_are_indicated_in_green,ajcs,top_level_code,subject_area,top_level
1615-9853,14286,Proteomics,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1616-301X,25143,Advanced Functional Materials,1603,16,Chemistry,Physical Sciences
1616-301X,25143,Advanced Functional Materials,3104,31,Physics and Astronomy,Physical Sciences
1616-301X,25143,Advanced Functional Materials,2502,25,Materials Science,Physical Sciences
1616-301X,25143,Advanced Functional Materials,2504,25,Materials Science,Physical Sciences
1616-301X,61114,Advanced Materials for Optics and Electronics,1500,15,Chemical Engineering,Physical Sciences
1616-301X,61114,Advanced Materials for Optics and Electronics,2504,25,Materials Science,Physical Sciences
1616-5187,14127,Macromolecular Bioscience,2505,25,Materials Science,Physical Sciences
1616-5187,14127,Macromolecular Bioscience,2507,25,Materials Science,Physical Sciences
1616-5187,14127,Macromolecular Bioscience,2502,25,Materials Science,Physical Sciences
1616-5187,14127,Macromolecular Bioscience,1502,15,Chemical Engineering,Physical Sciences
1616-5187,14127,Macromolecular Bioscience,1305,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1639-4488,4500151401,Geostandards and Geoanalytical Research,1906,19,Earth and Planetary Sciences,Physical Sciences
1639-4488,4500151401,Geostandards and Geoanalytical Research,1907,19,Earth and Planetary Sciences,Physical Sciences
1671-2234,5200153107,China and World Economy,2000,20,"Economics, Econometrics and Finance",Social Sciences
1672-9072,130165,Journal of Integrative Plant Biology,1110,11,Agricultural and Biological Sciences,Life Sciences
1672-9072,130165,Journal of Integrative Plant Biology,1300,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1672-9072,130165,Journal of Integrative Plant Biology,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1672-9609,11300153701,Insect Science,1109,11,Agricultural and Biological Sciences,Life Sciences
1672-9609,11300153701,Insect Science,1300,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1672-9609,11300153701,Insect Science,1102,11,Agricultural and Biological Sciences,Life Sciences
1672-9609,11300153701,Insect Science,1105,11,Agricultural and Biological Sciences,Life Sciences
1681-4835,21100201977,Electronic Journal of Information Systems in Developing Countries,1710,17,Computer Science,Physical Sciences
1738-2297,5800179596,Entomological Research,1109,11,Agricultural and Biological Sciences,Life Sciences
1740-1453,21100217634,Journal of Empirical Legal Studies,3308,33,Social Sciences,Social Sciences
1740-1453,21100217634,Journal of Empirical Legal Studies,3304,33,Social Sciences,Social Sciences
1740-4754,17700156774,European Management Review,1408,14,"Business, Management and Accounting",Social Sciences
1740-4754,17700156774,European Management Review,1403,14,"Business, Management and Accounting",Social Sciences
1741-1122,19200156914,Journal of Policy and Practice in Intellectual Disabilities,2739,27,Medicine,Health Sciences
1741-1122,19200156914,Journal of Policy and Practice in Intellectual Disabilities,3306,33,Social Sciences,Social Sciences
1741-4113,11600153438,Literature Compass,1208,12,Arts and Humanities,Social Sciences
1741-4113,11600153438,Literature Compass,3316,33,Social Sciences,Social Sciences
1741-4350,200147103,Literacy,1203,12,Arts and Humanities,Social Sciences
1741-4350,200147103,Literacy,3304,33,Social Sciences,Social Sciences
1742-464X,38597,FEBS Journal,1307,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1742-464X,38597,FEBS Journal,1312,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1742-464X,38597,FEBS Journal,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1742-6723,29666,EMA - Emergency Medicine Australasia,2711,27,Medicine,Health Sciences
1742-7355,19700180906,International Journal of Economic Theory,2002,20,"Economics, Econometrics and Finance",Social Sciences
1742-7835,20047,Basic and Clinical Pharmacology and Toxicology,3004,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1742-7835,20047,Basic and Clinical Pharmacology and Toxicology,3005,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1742-7835,20047,Basic and Clinical Pharmacology and Toxicology,2700,27,Medicine,Health Sciences
1742-7924,5000159705,Japan Journal of Nursing Science,2922,29,Nursing,Health Sciences
1743-4971,4500151406,Clinical Teacher,2923,29,Nursing,Health Sciences
1743-4971,4500151406,Clinical Teacher,2700,27,Medicine,Health Sciences
1743-7555,4000148021,Asia-Pacific Journal of Clinical Oncology,2730,27,Medicine,Health Sciences
1743-7555,4000148021,Asia-Pacific Journal of Clinical Oncology,2700,27,Medicine,Health Sciences
1744-1625,144883,Surgical Practice,2746,27,Medicine,Health Sciences
1744-3121,18893,International Journal of Immunogenetics,2716,27,Medicine,Health Sciences
1744-3121,18893,International Journal of Immunogenetics,1311,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1744-3121,18893,International Journal of Immunogenetics,1312,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1744-3121,18893,International Journal of Immunogenetics,2700,27,Medicine,Health Sciences
1744-3121,18893,International Journal of Immunogenetics,2403,24,Immunology and Microbiology,Life Sciences
1744-6961,18700156715,Grassland Science,1110,11,Agricultural and Biological Sciences,Life Sciences
1744-6961,18700156715,Grassland Science,1102,11,Agricultural and Biological Sciences,Life Sciences
1744-6961,18700156715,Grassland Science,1105,11,Agricultural and Biological Sciences,Life Sciences
1744-9979,110245,Therapeutic Apheresis and Dialysis,2727,27,Medicine,Health Sciences
1744-9979,110245,Therapeutic Apheresis and Dialysis,2720,27,Medicine,Health Sciences
1745-5863,130140,Geographical Research,1904,19,Earth and Planetary Sciences,Physical Sciences
1745-5863,130140,Geographical Research,3305,33,Social Sciences,Social Sciences
1747-0277,4000150314,Chemical Biology and Drug Design,1313,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1747-0277,4000150314,Chemical Biology and Drug Design,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1747-0277,4000150314,Chemical Biology and Drug Design,3002,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1747-0277,4000150314,Chemical Biology and Drug Design,3004,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1747-0277,4000150314,Chemical Biology and Drug Design,1605,16,Chemistry,Physical Sciences
1747-6585,5800173373,Water and Environment Journal,2308,23,Environmental Science,Physical Sciences
1747-6585,5800173373,Water and Environment Journal,2310,23,Environmental Science,Physical Sciences
1747-6585,5800173373,Water and Environment Journal,2312,23,Environmental Science,Physical Sciences
1747-6585,5800173373,Water and Environment Journal,2305,23,Environmental Science,Physical Sciences
1747-9991,11600153483,Philosophy Compass,1211,12,Arts and Humanities,Social Sciences
1748-1708,4000148904,Acta Physiologica,1314,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1748-1708,21100874269,Skandinavisches Archiv für Physiologie,1314,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1748-3131,17600155050,Asian Economic Policy Review,2308,23,Environmental Science,Physical Sciences
1748-3131,17600155050,Asian Economic Policy Review,3320,33,Social Sciences,Social Sciences
1748-3131,17600155050,Asian Economic Policy Review,2000,20,"Economics, Econometrics and Finance",Social Sciences
1748-3735,19700188272,International journal of older people nursing,2909,29,Nursing,Health Sciences
1748-5983,14000156253,Regulation and Governance,3308,33,Social Sciences,Social Sciences
1748-5983,14000156253,Regulation and Governance,3321,33,Social Sciences,Social Sciences
1748-5983,14000156253,Regulation and Governance,3312,33,Social Sciences,Social Sciences
1748-6645,17500155120,Journal of Neuropsychology,2802,28,Neuroscience,Life Sciences
1748-6645,17500155120,Journal of Neuropsychology,2805,28,Neuroscience,Life Sciences
1748-6645,17500155120,Journal of Neuropsychology,3206,32,Psychology,Social Sciences
1749-4478,130130,Clinical Otolaryngology,2733,27,Medicine,Health Sciences
1749-4869,19700180908,Integrative Zoology,1103,11,Agricultural and Biological Sciences,Life Sciences
1749-7701,14500154714,International Journal of Urological Nursing,2901,29,Nursing,Health Sciences
1749-7701,14500154714,International Journal of Urological Nursing,2748,27,Medicine,Health Sciences
1749-7701,14500154714,International Journal of Urological Nursing,2727,27,Medicine,Health Sciences
1749-8171,21100921071,Religion Compass,1212,12,Arts and Humanities,Social Sciences
1749-818X,13000154735,Linguistics and Language Compass,3310,33,Social Sciences,Social Sciences
1749-8198,13300154704,Geography Compass,1902,19,Earth and Planetary Sciences,Physical Sciences
1749-8198,13300154704,Geography Compass,1903,19,Earth and Planetary Sciences,Physical Sciences
1749-8198,13300154704,Geography Compass,1904,19,Earth and Planetary Sciences,Physical Sciences
1749-8198,13300154704,Geography Compass,3300,33,Social Sciences,Social Sciences
1749-8198,13300154704,Geography Compass,2312,23,Environmental Science,Physical Sciences
1750-8592,13900154713,Child Development Perspectives,3319,33,Social Sciences,Social Sciences
1750-8592,13900154713,Child Development Perspectives,3204,32,Psychology,Social Sciences
1750-8592,13900154713,Child Development Perspectives,2735,27,Medicine,Health Sciences
1751-2271,12100156320,"Mind, Brain, and Education",2805,28,Neuroscience,Life Sciences
1751-2271,12100156320,"Mind, Brain, and Education",3204,32,Psychology,Social Sciences
1751-2271,12100156320,"Mind, Brain, and Education",3304,33,Social Sciences,Social Sciences
1751-2271,12100156320,"Mind, Brain, and Education",3205,32,Psychology,Social Sciences
1751-2395,19400158483,Social Issues and Policy Review,3202,32,Psychology,Social Sciences
1751-2395,19400158483,Social Issues and Policy Review,3312,33,Social Sciences,Social Sciences
1751-2395,19400158483,Social Issues and Policy Review,3301,33,Social Sciences,Social Sciences
1751-2395,19400158483,Social Issues and Policy Review,3207,32,Psychology,Social Sciences
1751-2972,10300153357,Journal of Digestive Diseases,2715,27,Medicine,Health Sciences
1751-5521,6000195391,International Journal of Laboratory Hematology,2704,27,Medicine,Health Sciences
1751-5521,6000195391,International Journal of Laboratory Hematology,1308,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1751-5521,6000195391,International Journal of Laboratory Hematology,2720,27,Medicine,Health Sciences
1751-5521,6000195391,International Journal of Laboratory Hematology,2700,27,Medicine,Health Sciences
1751-7885,17500155156,Early Intervention in Psychiatry,2803,28,Neuroscience,Life Sciences
1751-7885,17500155156,Early Intervention in Psychiatry,2738,27,Medicine,Health Sciences
1751-7885,17500155156,Early Intervention in Psychiatry,2921,29,Nursing,Health Sciences
1751-9004,19900192137,Social and Personality Psychology Compass,3207,32,Psychology,Social Sciences
1751-9020,14000155895,Sociology Compass,3300,33,Social Sciences,Social Sciences
1752-2471,21100231618,Oral Surgery,3504,35,Dentistry,Health Sciences
1752-2471,21100231618,Oral Surgery,2746,27,Medicine,Health Sciences
1752-458X,19300157103,Insect Conservation and Diversity,1109,11,Agricultural and Biological Sciences,Life Sciences
1752-458X,19300157103,Insect Conservation and Diversity,1105,11,Agricultural and Biological Sciences,Life Sciences
1753-0229,21101036623,OPEC Energy Review,2100,21,Energy,Physical Sciences
1753-0229,21101036623,OPEC Energy Review,2002,20,"Economics, Econometrics and Finance",Social Sciences
1753-1403,19500157802,Asian Social Work and Policy Review,3312,33,Social Sciences,Social Sciences
1753-1403,19500157802,Asian Social Work and Policy Review,3301,33,Social Sciences,Social Sciences
1753-5131,19900191716,Reviews in Aquaculture,2308,23,Environmental Science,Physical Sciences
1753-5131,19900191716,Reviews in Aquaculture,2303,23,Environmental Science,Physical Sciences
1753-5131,19900191716,Reviews in Aquaculture,1104,11,Agricultural and Biological Sciences,Life Sciences
1753-8416,19900192175,Journal of Topology,2608,26,Mathematics,Physical Sciences
1754-0194,21100874188,British Journal for Eighteenth-Century Studies,1208,12,Arts and Humanities,Social Sciences
1754-0194,21100874188,British Journal for Eighteenth-Century Studies,1213,12,Arts and Humanities,Social Sciences
1754-0194,21100874188,British Journal for Eighteenth-Century Studies,1202,12,Arts and Humanities,Social Sciences
1754-0194,21100874188,British Journal for Eighteenth-Century Studies,3316,33,Social Sciences,Social Sciences
1754-9477,11300153316,Journal of Medical Imaging and Radiation Oncology,2741,27,Medicine,Health Sciences
1754-9477,11300153316,Journal of Medical Imaging and Radiation Oncology,2730,27,Medicine,Health Sciences
1755-098X,11700154306,Molecular Ecology Resources,1311,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1755-098X,11700154306,Molecular Ecology Resources,1105,11,Agricultural and Biological Sciences,Life Sciences
1755-098X,11700154306,Molecular Ecology Resources,1305,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1755-1471,11200153565,Pigment Cell and Melanoma Research,2708,27,Medicine,Health Sciences
1755-1471,11200153565,Pigment Cell and Melanoma Research,1300,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1755-1471,11200153565,Pigment Cell and Melanoma Research,2730,27,Medicine,Health Sciences
1755-375X,19700184600,Acta Ophthalmologica,2731,27,Medicine,Health Sciences
1755-375X,19700184600,Acta Ophthalmologica,2700,27,Medicine,Health Sciences
1755-6171,12000154533,Canadian Review of Sociology,3300,33,Social Sciences,Social Sciences
1755-6171,12000154533,Canadian Review of Sociology,1201,12,Arts and Humanities,Social Sciences
1755-6678,11000153718,Journal of Renal Care,2902,29,Nursing,Health Sciences
1755-6678,11000153718,Journal of Renal Care,2727,27,Medicine,Health Sciences
1756-1841,12400154749,International Journal of Rheumatic Diseases,2745,27,Medicine,Health Sciences
1756-2570,21100777183,Journal of Family Theory and Review,3301,33,Social Sciences,Social Sciences
1756-2570,21100777183,Journal of Family Theory and Review,3207,32,Psychology,Social Sciences
1756-2570,21100777183,Journal of Family Theory and Review,3306,33,Social Sciences,Social Sciences
1756-8757,19900191735,Topics in Cognitive Science,1702,17,Computer Science,Physical Sciences
1756-8757,19900191735,Topics in Cognitive Science,2805,28,Neuroscience,Life Sciences
1756-8757,19900191735,Topics in Cognitive Science,1709,17,Computer Science,Physical Sciences
1756-8757,19900191735,Topics in Cognitive Science,3310,33,Social Sciences,Social Sciences
1756-8757,19900191735,Topics in Cognitive Science,3205,32,Psychology,Social Sciences
1756-9338,17700156312,Environmental Policy and Governance,2308,23,Environmental Science,Physical Sciences
1756-9338,17700156312,Environmental Policy and Governance,3305,33,Social Sciences,Social Sciences
1757-5664,19700201419,LUTS: Lower Urinary Tract Symptoms,2748,27,Medicine,Health Sciences
1757-5664,19700201419,LUTS: Lower Urinary Tract Symptoms,2808,28,Neuroscience,Life Sciences
1757-7004,21100198522,Wiley Interdisciplinary Reviews: RNA,1312,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1757-7004,21100198522,Wiley Interdisciplinary Reviews: RNA,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1757-7780,19900191605,WIREs Climate Change,1902,19,Earth and Planetary Sciences,Physical Sciences
1757-7780,19900191605,WIREs Climate Change,3305,33,Social Sciences,Social Sciences
1757-7780,19900191605,WIREs Climate Change,2306,23,Environmental Science,Physical Sciences
1757-7802,21100435556,Regional Science Policy and Practice,2308,23,Environmental Science,Physical Sciences
1757-7802,21100435556,Regional Science Policy and Practice,3303,33,Social Sciences,Social Sciences
1757-7802,21100435556,Regional Science Policy and Practice,3305,33,Social Sciences,Social Sciences
1758-0854,21100200437,Applied Psychology: Health and Well-Being,3202,32,Psychology,Social Sciences
1758-2229,19700180907,Environmental Microbiology Reports,1101,11,Agricultural and Biological Sciences,Life Sciences
1758-2229,19700180907,Environmental Microbiology Reports,1105,11,Agricultural and Biological Sciences,Life Sciences
1758-5864,19700175111,Asia-Pacific Psychiatry,2738,27,Medicine,Health Sciences
1758-5864,19700175111,Asia-Pacific Psychiatry,2700,27,Medicine,Health Sciences
1758-5880,21100238638,Global Policy,3308,33,Social Sciences,Social Sciences
1758-5880,21100238638,Global Policy,2308,23,Environmental Science,Physical Sciences
1758-5880,21100238638,Global Policy,3320,33,Social Sciences,Social Sciences
1758-5880,21100238638,Global Policy,2002,20,"Economics, Econometrics and Finance",Social Sciences
1758-5880,21100238638,Global Policy,2306,23,Environmental Science,Physical Sciences
1758-5902,21100218539,Asian journal of endoscopic surgery,2700,27,Medicine,Health Sciences
1758-8103,21100399701,Clinical Obesity,2712,27,Medicine,Health Sciences
1759-0884,21100200203,Wiley Interdisciplinary Reviews: Computational Molecular Science,2505,25,Materials Science,Physical Sciences
1759-0884,21100200203,Wiley Interdisciplinary Reviews: Computational Molecular Science,2605,26,Mathematics,Physical Sciences
1759-0884,21100200203,Wiley Interdisciplinary Reviews: Computational Molecular Science,1606,16,Chemistry,Physical Sciences
1759-0884,21100200203,Wiley Interdisciplinary Reviews: Computational Molecular Science,1706,17,Computer Science,Physical Sciences
1759-0884,21100200203,Wiley Interdisciplinary Reviews: Computational Molecular Science,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1759-1961,19700188334,Clinical and Experimental Neuroimmunology,2728,27,Medicine,Health Sciences
1759-1961,19700188334,Clinical and Experimental Neuroimmunology,2401,24,Immunology and Microbiology,Life Sciences
1759-1961,19700188334,Clinical and Experimental Neuroimmunology,2403,24,Immunology and Microbiology,Life Sciences
1759-1961,19700188334,Clinical and Experimental Neuroimmunology,2801,28,Neuroscience,Life Sciences
1759-2879,21100403241,Research Synthesis Methods,3304,33,Social Sciences,Social Sciences
1759-6831,19900194300,Journal of Systematics and Evolution,1110,11,Agricultural and Biological Sciences,Life Sciences
1759-6831,19900194300,Journal of Systematics and Evolution,1105,11,Agricultural and Biological Sciences,Life Sciences
1836-6864,21100979269,Australasian Journal of Ultrasound in Medicine,2741,27,Medicine,Health Sciences
1836-6864,21100979269,Australasian Journal of Ultrasound in Medicine,3614,36,Health Professions,Health Sciences
1839-3330,20293,Ecological Management and Restoration,2308,23,Environmental Science,Physical Sciences
1839-3330,20293,Ecological Management and Restoration,2309,23,Environmental Science,Physical Sciences
1839-3330,20293,Ecological Management and Restoration,1105,11,Agricultural and Biological Sciences,Life Sciences
1860-6768,4900152305,Biotechnology journal,1313,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1860-6768,4900152305,Biotechnology journal,2402,24,Immunology and Microbiology,Life Sciences
1860-6768,4900152305,Biotechnology journal,2700,27,Medicine,Health Sciences
1860-7179,4400151608,ChemMedChem,1605,16,Chemistry,Physical Sciences
1860-7179,4400151608,ChemMedChem,3000,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1860-7179,4400151608,ChemMedChem,1313,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1860-7179,4400151608,ChemMedChem,3002,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1860-7179,4400151608,ChemMedChem,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1860-7179,4400151608,ChemMedChem,3004,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1861-471X,4800156201,Chemistry - An Asian Journal,1600,16,Chemistry,Physical Sciences
1861-471X,4800156201,Chemistry - An Asian Journal,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1861-471X,4800156201,Chemistry - An Asian Journal,1605,16,Chemistry,Physical Sciences
1862-6254,10400153302,Physica Status Solidi - Rapid Research Letetrs,3104,31,Physics and Astronomy,Physical Sciences
1862-6254,10400153302,Physica Status Solidi - Rapid Research Letetrs,2500,25,Materials Science,Physical Sciences
1862-6300,5800179580,Physica Status Solidi (A) Applications and Materials,2505,25,Materials Science,Physical Sciences
1862-6300,5800179580,Physica Status Solidi (A) Applications and Materials,2208,22,Engineering,Physical Sciences
1862-6300,5800179580,Physica Status Solidi (A) Applications and Materials,2508,25,Materials Science,Physical Sciences
1862-6300,5800179580,Physica Status Solidi (A) Applications and Materials,3110,31,Physics and Astronomy,Physical Sciences
1862-6300,5800179580,Physica Status Solidi (A) Applications and Materials,3104,31,Physics and Astronomy,Physical Sciences
1862-6300,5800179580,Physica Status Solidi (A) Applications and Materials,2504,25,Materials Science,Physical Sciences
1862-832X,12600154731,Macromolecular Reaction Engineering,2507,25,Materials Science,Physical Sciences
1862-832X,12600154731,Macromolecular Reaction Engineering,1500,15,Chemical Engineering,Physical Sciences
1862-832X,12600154731,Macromolecular Reaction Engineering,1600,16,Chemistry,Physical Sciences
1862-8346,10100153329,Proteomics - Clinical Applications,1308,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1863-0650,5400152707,"Clean - Soil, Air, Water",2310,23,Environmental Science,Physical Sciences
1863-0650,5400152707,"Clean - Soil, Air, Water",2312,23,Environmental Science,Physical Sciences
1863-0650,5400152707,"Clean - Soil, Air, Water",2304,23,Environmental Science,Physical Sciences
1863-1959,5200153105,Zoonoses and Public Health,2725,27,Medicine,Health Sciences
1863-1959,5200153105,Zoonoses and Public Health,2739,27,Medicine,Health Sciences
1863-1959,5200153105,Zoonoses and Public Health,3400,34,Veterinary,Health Sciences
1863-1959,5200153105,Zoonoses and Public Health,2400,24,Immunology and Microbiology,Life Sciences
1863-1959,5200153105,Zoonoses and Public Health,2713,27,Medicine,Health Sciences
1863-8880,7500153133,Laser and Photonics Reviews,3104,31,Physics and Astronomy,Physical Sciences
1863-8880,7500153133,Laser and Photonics Reviews,3107,31,Physics and Astronomy,Physical Sciences
1863-8880,7500153133,Laser and Photonics Reviews,2504,25,Materials Science,Physical Sciences
1864-063X,16400154786,Journal of Biophotonics,3100,31,Physics and Astronomy,Physical Sciences
1864-063X,16400154786,Journal of Biophotonics,2200,22,Engineering,Physical Sciences
1864-063X,16400154786,Journal of Biophotonics,1300,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1864-063X,16400154786,Journal of Biophotonics,2500,25,Materials Science,Physical Sciences
1864-063X,16400154786,Journal of Biophotonics,1600,16,Chemistry,Physical Sciences
1864-5631,12000154478,ChemSusChem,2100,21,Energy,Physical Sciences
1864-5631,12000154478,ChemSusChem,2500,25,Materials Science,Physical Sciences
1864-5631,12000154478,ChemSusChem,1500,15,Chemical Engineering,Physical Sciences
1864-5631,12000154478,ChemSusChem,2304,23,Environmental Science,Physical Sciences
1865-1674,10300153305,Transboundary and Emerging Diseases,3400,34,Veterinary,Health Sciences
1865-1674,10300153305,Transboundary and Emerging Diseases,2400,24,Immunology and Microbiology,Life Sciences
1865-1674,10300153305,Transboundary and Emerging Diseases,2700,27,Medicine,Health Sciences
1867-0520,21100843001,Steel Construction,2506,25,Materials Science,Physical Sciences
1867-0520,21100843001,Steel Construction,2211,22,Engineering,Physical Sciences
1867-0520,21100843001,Steel Construction,2215,22,Engineering,Physical Sciences
1867-0520,21100843001,Steel Construction,2205,22,Engineering,Physical Sciences
1867-3880,19900191733,ChemCatChem,1604,16,Chemistry,Physical Sciences
1867-3880,19900191733,ChemCatChem,1605,16,Chemistry,Physical Sciences
1867-3880,19900191733,ChemCatChem,1606,16,Chemistry,Physical Sciences
1867-3880,19900191733,ChemCatChem,1503,15,Chemical Engineering,Physical Sciences
1868-1743,19900192900,Molecular Informatics,1605,16,Chemistry,Physical Sciences
1868-1743,19900192900,Molecular Informatics,1706,17,Computer Science,Physical Sciences
1868-1743,19900192900,Molecular Informatics,3002,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1868-1743,19900192900,Molecular Informatics,1313,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1868-1743,19900192900,Molecular Informatics,1315,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1868-6974,19600157309,Journal of Hepato-Biliary-Pancreatic Sciences,2721,27,Medicine,Health Sciences
1868-6974,19600157309,Journal of Hepato-Biliary-Pancreatic Sciences,2746,27,Medicine,Health Sciences
1911-382X,14000156207,Accounting Perspectives,2003,20,"Economics, Econometrics and Finance",Social Sciences
1911-382X,14000156207,Accounting Perspectives,1402,14,"Business, Management and Accounting",Social Sciences
1930-7381,4700152825,Obesity,2916,29,Nursing,Health Sciences
1930-7381,4700152825,Obesity,1310,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1930-7381,4700152825,Obesity,2712,27,Medicine,Health Sciences
1930-7381,4700152825,Obesity,2701,27,Medicine,Health Sciences
1932-1031,12700154702,"Biofuels, Bioproducts and Biorefining",2105,21,Energy,Physical Sciences
1932-1031,12700154702,"Biofuels, Bioproducts and Biorefining",1502,15,Chemical Engineering,Physical Sciences
1932-1864,16900154710,Statistical Analysis and Data Mining,1706,17,Computer Science,Physical Sciences
1932-1864,16900154710,Statistical Analysis and Data Mining,1710,17,Computer Science,Physical Sciences
1932-1864,16900154710,Statistical Analysis and Data Mining,2603,26,Mathematics,Physical Sciences
1932-2054,6000195381,Global Business and Organizational Excellence,1407,14,"Business, Management and Accounting",Social Sciences
1932-2054,6000195381,Global Business and Organizational Excellence,1403,14,"Business, Management and Accounting",Social Sciences
1932-2135,5400152634,Asia-Pacific Journal of Chemical Engineering,2311,23,Environmental Science,Physical Sciences
1932-2135,5400152634,Asia-Pacific Journal of Chemical Engineering,2105,21,Energy,Physical Sciences
1932-2135,5400152634,Asia-Pacific Journal of Chemical Engineering,1500,15,Chemical Engineering,Physical Sciences
1932-4391,21100217630,Strategic Entrepreneurship Journal,1408,14,"Business, Management and Accounting",Social Sciences
1932-4391,21100217630,Strategic Entrepreneurship Journal,2002,20,"Economics, Econometrics and Finance",Social Sciences
1932-4391,21100217630,Strategic Entrepreneurship Journal,1403,14,"Business, Management and Accounting",Social Sciences
1932-6254,10700153301,Journal of tissue engineering and regenerative medicine,2204,22,Engineering,Physical Sciences
1932-6254,10700153301,Journal of tissue engineering and regenerative medicine,2502,25,Materials Science,Physical Sciences
1932-6254,10700153301,Journal of tissue engineering and regenerative medicine,2701,27,Medicine,Health Sciences
1932-8451,6000195389,Developmental Neurobiology,2804,28,Neuroscience,Life Sciences
1932-8451,6000195389,Developmental Neurobiology,2806,28,Neuroscience,Life Sciences
1932-8486,15300154803,Anatomical Record,1105,11,Agricultural and Biological Sciences,Life Sciences
1932-8486,15300154803,Anatomical Record,2722,27,Medicine,Health Sciences
1932-8486,15300154803,Anatomical Record,1305,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1932-8486,15300154803,Anatomical Record,2702,27,Medicine,Health Sciences
1932-8621,16400154776,Personality and Mental Health,2738,27,Medicine,Health Sciences
1932-8621,16400154776,Personality and Mental Health,2719,27,Medicine,Health Sciences
1932-8621,16400154776,Personality and Mental Health,2921,29,Nursing,Health Sciences
1934-1482,15800154701,PM and R,2728,27,Medicine,Health Sciences
1934-1482,15800154701,PM and R,2808,28,Neuroscience,Life Sciences
1934-1482,15800154701,PM and R,2742,27,Medicine,Health Sciences
1934-1482,15800154701,PM and R,3612,36,Health Professions,Health Sciences
1934-2616,10600153340,Current Protocols in Cell Biology,1307,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1934-3396,11600154092,Current Protocols in Bioinformatics,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1934-3396,11600154092,Current Protocols in Bioinformatics,1315,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1934-3647,10600153354,Current Protocols in Molecular Biology,1312,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1934-3655,11600153418,Current Protocols in Protein Science,1303,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1934-3655,11600153418,Current Protocols in Protein Science,1315,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1934-3671,11600154504,Current Protocols in Immunology,2403,24,Immunology and Microbiology,Life Sciences
1934-662X,17600155059,Cancer Cytopathology,1306,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1934-662X,17600155059,Cancer Cytopathology,2730,27,Medicine,Health Sciences
1934-8258,11700154206,Current Protocols in Human Genetics,1311,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1934-8258,11700154206,Current Protocols in Human Genetics,2716,27,Medicine,Health Sciences
1934-8282,21100198011,Current Protocols in Pharmacology,3004,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1934-8525,12100156717,Current Protocols in Microbiology,2406,24,Immunology and Microbiology,Life Sciences
1934-8525,12100156717,Current Protocols in Microbiology,2404,24,Immunology and Microbiology,Life Sciences
