values,ind
0868-4952,GOLD OA
1386-6338,GOLD OA
1946-2174,GOLD OA
1574-017X,GOLD OA
1574-0617,GOLD OA
0167-5265,GOLD OA
2589-9953,GOLD OA
2451-9480,GOLD OA
2451-8484,GOLD OA
2213-6304,GOLD OA
2214-6490,GOLD OA
2542-4823,GOLD OA
2468-8290,GOLD OA
2468-3884,GOLD OA
2215-020X,GOLD OA
1878-5417,GOLD OA
0379-038X,GOLD OA
0019-5588,GOLD OA
2277-9167,GOLD OA
1809-4864,GOLD OA
1735-1979,GOLD OA
2234-6163,GOLD OA
2662-9992,GOLD OA
0037-9409,GOLD OA
0254-0223,GOLD OA
2107-6839,GOLD OA
1252-607X,GOLD OA
1961-9502,GOLD OA
2100-014X,GOLD OA
1779-6288,GOLD OA
0531-7479,GOLD OA
2257-7750,GOLD OA
2257-6614,GOLD OA
2426-8887,GOLD OA
2493-9439,GOLD OA
2050-490X,GOLD OA
2491-9292,GOLD OA
1294-4475,GOLD OA
2267-3059,GOLD OA
2740-4218,GOLD OA
2681-4617,GOLD OA
2557-0250,GOLD OA
2261-2424,GOLD OA
2117-4458,GOLD OA
2492-6035,GOLD OA
2261-236X,GOLD OA
2271-2097,GOLD OA
2608-1326,GOLD OA
2265-4224,GOLD OA
0870-6352,GOLD OA
2267-1242,GOLD OA
2272-2394,GOLD OA
2556-8779,GOLD OA
2046-2441,GOLD OA
2054-5703,GOLD OA
1530-2180,GOLD OA
1544-3566,GOLD OA
2475-1421,GOLD OA
2576-5337,GOLD OA
2577-3224,GOLD OA
1939-1404,GOLD OA
1943-0647,GOLD OA
2168-2372,GOLD OA
2329-9231,GOLD OA
2168-6734,GOLD OA
2169-3536,GOLD OA
2644-1322,GOLD OA
2644-1225,GOLD OA
2687-7813,GOLD OA
2644-1241,GOLD OA
2689-1808,GOLD OA
2637-6431,GOLD OA
2644-1292,GOLD OA
2644-1314,GOLD OA
2644-1268,GOLD OA
2644-1284,GOLD OA
2576-3202,GOLD OA
2687-7910,GOLD OA
2644-1330,GOLD OA
2692-8388,GOLD OA
2644-1276,GOLD OA
1541-6518,GOLD OA
1756-8692,GOLD OA
0857-4421,GOLD OA
1319-1616,GOLD OA
1858-3431,GOLD OA
1550-333X,GOLD OA
2077-1886,GOLD OA
1859-0020,GOLD OA
2444-9695,GOLD OA
2531-0488,GOLD OA
1809-2276,GOLD OA
0972-9968,GOLD OA
2633-4062,GOLD OA
2633-6596,GOLD OA
2516-1652,GOLD OA
2631-357X,GOLD OA
0791-8437,GOLD OA
2055-5911,GOLD OA
2398-4007,GOLD OA
2632-7627,GOLD OA
2210-8327,GOLD OA
1229-988X,GOLD OA
2077-5504,GOLD OA
1727-2645,GOLD OA
2631-3871,GOLD OA
2399-6439,GOLD OA
2615-9821,GOLD OA
1933-5415,GOLD OA
2515-8961,GOLD OA
2205-149X,GOLD OA
2459-9700,GOLD OA
2398-7294,GOLD OA
2397-7604,GOLD OA
2399-9802,GOLD OA
2633-7991,GOLD OA
2397-3757,GOLD OA
2515-964X,GOLD OA
2514-4774,GOLD OA
0973-1954,GOLD OA
2516-4384,GOLD OA
0128-1976,GOLD OA
2631-3030,GOLD OA
2632-0487,GOLD OA
2516-158X,GOLD OA
2356-9980,GOLD OA
2516-8142,GOLD OA
2632-279X,GOLD OA
2444-8451,GOLD OA
2514-5789,GOLD OA
2071-1395,GOLD OA
2586-3932,GOLD OA
2160-1836,GOLD OA
2090-0147,GOLD OA
2090-312X,GOLD OA
1687-7195,GOLD OA
0962-9351,GOLD OA
1687-5966,GOLD OA
1110-662X,GOLD OA
2090-0597,GOLD OA
1687-9260,GOLD OA
1687-966X,GOLD OA
1687-9325,GOLD OA
2040-2295,GOLD OA
2090-1429,GOLD OA
0161-1712,GOLD OA
2090-2727,GOLD OA
1687-7667,GOLD OA
1687-8159,GOLD OA
1687-6962,GOLD OA
1472-3646,GOLD OA
2090-1860,GOLD OA
2090-3049,GOLD OA
1687-9635,GOLD OA
1687-918X,GOLD OA
1687-9597,GOLD OA
0278-0240,GOLD OA
2090-2824,GOLD OA
1687-7969,GOLD OA
1687-8728,GOLD OA
0882-7516,GOLD OA
2090-1240,GOLD OA
2090-0708,GOLD OA
1537-744X,GOLD OA
2090-150X,GOLD OA
1687-9201,GOLD OA
2090-1976,GOLD OA
1687-9805,GOLD OA
2090-2204,GOLD OA
2042-0099,GOLD OA
1687-8450,GOLD OA
1468-8115,GOLD OA
1687-6415,GOLD OA
1687-5893,GOLD OA
2090-1445,GOLD OA
1687-9724,GOLD OA
1110-757X,GOLD OA
1939-0122,GOLD OA
1687-6075,GOLD OA
1687-9643,GOLD OA
2090-1933,GOLD OA
1357-714X,GOLD OA
1687-7357,GOLD OA
1748-670X,GOLD OA
2090-2840,GOLD OA
2090-1542,GOLD OA
1687-9309,GOLD OA
1687-4188,GOLD OA
1687-952X,GOLD OA
1687-9422,GOLD OA
2090-0252,GOLD OA
1687-7578,GOLD OA
2042-0048,GOLD OA
1026-0226,GOLD OA
2090-1844,GOLD OA
0953-4180,GOLD OA
1687-6369,GOLD OA
1687-8876,GOLD OA
2090-0724,GOLD OA
1741-427X,GOLD OA
1550-1329,GOLD OA
1687-5869,GOLD OA
1687-9600,GOLD OA
2090-2867,GOLD OA
1687-4757,GOLD OA
1687-9147,GOLD OA
2090-1321,GOLD OA
2042-0064,GOLD OA
1687-7063,GOLD OA
1687-479X,GOLD OA
1687-708X,GOLD OA
1687-8639,GOLD OA
1687-8086,GOLD OA
1687-9104,GOLD OA
2042-0072,GOLD OA
1687-9503,GOLD OA
1687-8760,GOLD OA
1687-5702,GOLD OA
1942-0994,GOLD OA
1076-2787,GOLD OA
2090-2247,GOLD OA
