values,ind
2059-6553,DOAJ
0962-7286,DOAJ
0924-9338,DOAJ
0016-7746,DOAJ
1930-2975,DOAJ
0030-6053,DOAJ
0023-8791,DOAJ
1742-1705,DOAJ
0022-1430,DOAJ
1727-7191,DOAJ
0031-1820,DOAJ
1368-9800,DOAJ
1463-4236,DOAJ
0260-3055,DOAJ
2071-8322,DOAJ
0950-2688,DOAJ
0263-0346,DOAJ
2045-7960,DOAJ
1074-0708,DOAJ
2048-6790,DOAJ
1068-2805,DOAJ
2056-4694,DOAJ
2052-3289,DOAJ
2056-4724,DOAJ
2050-5094,DOAJ
2050-5086,DOAJ
2633-2892,DOAJ
2732-494X,DOAJ
2632-8828,DOAJ
2633-4259,DOAJ
2398-7723,DOAJ
2056-354X,DOAJ
2059-5999,DOAJ
2053-4701,DOAJ
2632-2897,DOAJ
2513-9886,DOAJ
2054-4251,DOAJ
1741-7627,DOAJ
2516-712X,DOAJ
2059-8661,DOAJ
2632-3249,DOAJ
2631-7176,DOAJ
2632-6736,DOAJ
2059-4798,DOAJ
2056-4740,DOAJ
2513-843X,DOAJ
2633-903X,DOAJ
2752-6135,DOAJ
2331-1886,DOAJ
2331-1975,DOAJ
2332-2039,DOAJ
2331-1932,DOAJ
2331-1916,DOAJ
2398-3795,DOAJ
1754-8403,DOAJ
2046-6390,DOAJ
2095-2759,DOAJ
2096-157X,DOAJ
0004-282X,DOAJ
0102-3616,DOAJ
0100-7203,DOAJ
0103-5355,DOAJ
2371-1671,DOAJ
2368-7460,DOAJ
2564-4939,DOAJ
2291-2789,DOAJ
1712-9532,DOAJ
1198-2241,DOAJ
0387-3285,DOAJ
1864-6042,DOAJ
1868-1034,DOAJ
1869-215X,DOAJ
1613-4796,DOAJ
1864-7782,DOAJ
1605-8127,DOAJ
0793-0135,DOAJ
1433-7266,DOAJ
0793-0283,DOAJ
1430-6395,DOAJ
1536-1365,DOAJ
1862-2976,DOAJ
2543-6376,DOAJ
1868-5021,DOAJ
1730-413X,DOAJ
0792-1241,DOAJ
1618-7229,DOAJ
2364-7485,DOAJ
2391-5439,DOAJ
1582-3296,DOAJ
2364-5504,DOAJ
2192-8614,DOAJ
2081-7738,DOAJ
0800-6377,DOAJ
2191-9496,DOAJ
2335-2019,DOAJ
2191-9542,DOAJ
0334-8938,DOAJ
2192-8029,DOAJ
2567-9430,DOAJ
2564-615X,DOAJ
2628-491X,DOAJ
0792-1233,DOAJ
2644-5247,DOAJ
2568-2407,DOAJ
1867-1691,DOAJ
2747-7495,DOAJ
1454-5144,DOAJ
2544-9826,DOAJ
2082-2103,DOAJ
2365-242X,DOAJ
1822-4555,DOAJ
2154-3348,DOAJ
2544-7297,DOAJ
2701-8199,DOAJ
2191-9089,DOAJ
0015-5748,DOAJ
1646-7752,DOAJ
2466-4774,DOAJ
0170-057X,DOAJ
2451-3148,DOAJ
2668-7542,DOAJ
2668-4217,DOAJ
2193-3685,DOAJ
2080-5926,DOAJ
2353-3773,DOAJ
2601-6877,DOAJ
2749-9642,DOAJ
2256-0386,DOAJ
2364-768X,DOAJ
2544-7831,DOAJ
2569-3263,DOAJ
2585-7444,DOAJ
2545-0255,DOAJ
2444-8656,DOAJ
2628-166X,DOAJ
2674-4600,DOAJ
2543-8883,DOAJ
2351-8227,DOAJ
2729-7640,DOAJ
2543-8875,DOAJ
2747-7479,DOAJ
2719-9509,DOAJ
1303-829X,DOAJ
2451-0262,DOAJ
2299-1093,DOAJ
2544-8951,DOAJ
2003-184X,DOAJ
2544-8994,DOAJ
2668-7755,DOAJ
2451-1781,DOAJ
2451-1935,DOAJ
2719-8073,DOAJ
2720-4286,DOAJ
1210-0668,DOAJ
2080-2234,DOAJ
0567-8315,DOAJ
2391-5455,DOAJ
1233-2585,DOAJ
1730-4237,DOAJ
0933-4807,DOAJ
1426-8981,DOAJ
2391-5412,DOAJ
0081-6272,DOAJ
2081-6936,DOAJ
0006-5471,DOAJ
1318-2099,DOAJ
1234-2238,DOAJ
1803-8417,DOAJ
1335-342X,DOAJ
0004-1254,DOAJ
1509-8117,DOAJ
0029-5922,DOAJ
0042-790X,DOAJ
1213-2446,DOAJ
2029-0454,DOAJ
1330-0075,DOAJ
1641-876X,DOAJ
1311-0160,DOAJ
1643-4439,DOAJ
0860-150X,DOAJ
0440-6605,DOAJ
1335-8871,DOAJ
1899-8526,DOAJ
1318-5454,DOAJ
1899-4849,DOAJ
1841-6624,DOAJ
2299-3231,DOAJ
2300-9969,DOAJ
0867-6356,DOAJ
2300-7443,DOAJ
1403-1108,DOAJ
1335-8421,DOAJ
0351-0026,DOAJ
2080-5187,DOAJ
2457-550X,DOAJ
1407-6160,DOAJ
1691-6301,DOAJ
0137-6365,DOAJ
1224-9718,DOAJ
1311-9702,DOAJ
1802-4866,DOAJ
2084-1264,DOAJ
0520-7371,DOAJ
1847-8344,DOAJ
0324-1750,DOAJ
2391-5447,DOAJ
1841-1487,DOAJ
1017-1274,DOAJ
0547-3101,DOAJ
1583-980X,DOAJ
0018-0599,DOAJ
1224-984X,DOAJ
2300-6560,DOAJ
2391-8152,DOAJ
2299-3282,DOAJ
1335-2555,DOAJ
1844-6086,DOAJ
2286-2102,DOAJ
2068-8008,DOAJ
1210-8812,DOAJ
2300-2298,DOAJ
2300-7451,DOAJ
1210-3896,DOAJ
1230-7831,DOAJ
2343-8894,DOAJ
1734-1663,DOAJ
2299-3274,DOAJ
2037-0830,DOAJ
2255-9604,DOAJ
2393-1809,DOAJ
1842-0206,DOAJ
2300-6579,DOAJ
2255-9140,DOAJ
2066-639X,DOAJ
1857-8462,DOAJ
2065-5924,DOAJ
2353-0626,DOAJ
1841-3293,DOAJ
1844-6094,DOAJ
2353-7396,DOAJ
2084-879X,DOAJ
1792-345X,DOAJ
1234-3099,DOAJ
2066-7744,DOAJ
1584-3734,DOAJ
2065-748X,DOAJ
1804-8722,DOAJ
2084-980X,DOAJ
2300-5009,DOAJ
1338-8339,DOAJ
2344-1496,DOAJ
1338-6891,DOAJ
2303-5005,DOAJ
2354-0079,DOAJ
2081-9943,DOAJ
1336-5835,DOAJ
1406-9954,DOAJ
2296-990X,DOAJ
2299-0518,DOAJ
0867-6046,DOAJ
2501-5974,DOAJ
2080-7279,DOAJ
2069-7554,DOAJ
1509-9415,DOAJ
1847-5450,DOAJ
2300-5289,DOAJ
2391-5471,DOAJ
0379-3664,DOAJ
1684-4769,DOAJ
2183-3311,DOAJ
2543-6597,DOAJ
2067-9785,DOAJ
2391-5463,DOAJ
2450-6966,DOAJ
2081-4836,DOAJ
1338-5615,DOAJ
2391-9531,DOAJ
2255-7563,DOAJ
0551-3677,DOAJ
1337-7590,DOAJ
2255-8837,DOAJ
2453-6725,DOAJ
1336-5266,DOAJ
2067-5151,DOAJ
1854-7400,DOAJ
2451-3474,DOAJ
0860-2107,DOAJ
2286-2218,DOAJ
1803-2427,DOAJ
0420-1213,DOAJ
0039-2472,DOAJ
1392-1142,DOAJ
1336-9024,DOAJ
1849-8531,DOAJ
2391-5420,DOAJ
0081-6485,DOAJ
2450-7393,DOAJ
2182-2824,DOAJ
2303-4858,DOAJ
1734-4492,DOAJ
1224-8703,DOAJ
1330-061X,DOAJ
0001-8325,DOAJ
2454-034X,DOAJ
0721-9067,DOAJ
1891-1803,DOAJ
1891-5469,DOAJ
2392-7054,DOAJ
0231-5742,DOAJ
1801-3422,DOAJ
1335-8243,DOAJ
1339-4045,DOAJ
2069-7449,DOAJ
1453-1968,DOAJ
1224-1784,DOAJ
1584-2339,DOAJ
2286-2668,DOAJ
1844-1076,DOAJ
1842-4120,DOAJ
0334-1860,DOAJ
1445-7377,DOAJ
2666-3066,DOAJ
1083-3668,DOAJ
2329-423X,DOAJ
0079-4252,DOAJ
0022-300X,DOAJ
1733-1331,DOAJ
1178-8690,DOAJ
1899-0142,DOAJ
1032-335X,DOAJ
2245-8875,DOAJ
0226-1766,DOAJ
2207-7472,DOAJ
2470-8038,DOAJ
2352-6475,DOAJ
2155-384X,DOAJ
2326-3253,DOAJ
2690-2702,DOAJ
2471-254X,DOAJ
2211-1247,DOAJ
2162-2531,DOAJ
2329-0501,DOAJ
2589-0042,DOAJ
2156-7085,DOAJ
1094-4087,DOAJ
2159-3930,DOAJ
2334-2536,DOAJ
2578-7519,DOAJ
1094-2912,DOAJ
0334-6455,DOAJ
1933-6918,DOAJ
1942-0862,DOAJ
1559-2294,DOAJ
1933-6934,DOAJ
1933-6896,DOAJ
2162-4011,DOAJ
1949-0976,DOAJ
2164-5698,DOAJ
1555-7561,DOAJ
1069-1898,DOAJ
2328-4277,DOAJ
2333-5084,DOAJ
2472-1972,DOAJ
0033-2615,DOAJ
2644-125X,DOAJ
2471-9625,DOAJ
1539-1663,DOAJ
1083-7159,DOAJ
1523-0430,DOAJ
1043-2256,DOAJ
1940-3372,DOAJ
2578-4854,DOAJ
1529-1227,DOAJ
2168-0450,DOAJ
2000-8686,DOAJ
1654-661X,DOAJ
2300-0147,DOAJ
2544-5502,DOAJ
2081-545X,DOAJ
2084-8404,DOAJ
1732-1948,DOAJ
1689-7404,DOAJ
2255-8691,DOAJ
2299-0461,DOAJ
2084-1965,DOAJ
2719-3454,DOAJ
2084-3356,DOAJ
2658-0845,DOAJ
0011-4561,DOAJ
2353-5156,DOAJ
1822-6760,DOAJ
2235-042X,DOAJ
1662-6567,DOAJ
1011-7571,DOAJ
1662-4025,DOAJ
1662-0631,DOAJ
1660-3796,DOAJ
1662-4246,DOAJ
1662-6575,DOAJ
1420-4096,DOAJ
0030-3747,DOAJ
1662-811X,DOAJ
1662-680X,DOAJ
0300-5526,DOAJ
1663-2699,DOAJ
1664-5502,DOAJ
1664-5456,DOAJ
1664-5553,DOAJ
1664-5464,DOAJ
2387-1954,DOAJ
2504-5288,DOAJ
2296-9365,DOAJ
2504-3145,DOAJ
2296-6870,DOAJ
2504-110X,DOAJ
2504-3889,DOAJ
2296-9357,DOAJ
2296-3774,DOAJ
2571-726X,DOAJ
2296-9705,DOAJ
2673-1738,DOAJ
2504-3161,DOAJ
0905-9180,DOAJ
2312-0541,DOAJ
2519-1187,DOAJ
0873-626X,DOAJ
2183-2439,DOAJ
2183-2803,DOAJ
2183-2463,DOAJ
2183-7635,DOAJ
1383-4517,DOAJ
0025-7974,DOAJ
2169-7574,DOAJ
2373-8731,DOAJ
2332-7812,DOAJ
2574-2167,DOAJ
2474-7661,DOAJ
2574-0954,DOAJ
2472-7245,DOAJ
2639-8028,DOAJ
2572-9241,DOAJ
2471-2531,DOAJ
2474-7882,DOAJ
2691-3593,DOAJ
0970-2016,DOAJ
0970-0358,DOAJ
2347-5625,DOAJ
2278-330X,DOAJ
2348-0548,DOAJ
0976-5042,DOAJ
2231-0770,DOAJ
2454-6798,DOAJ
0974-2727,DOAJ
1946-2174,DOAJ
1877-7171,DOAJ
2589-9953,DOAJ
2451-9480,DOAJ
2352-3727,DOAJ
2451-8484,DOAJ
2468-4562,DOAJ
2213-6304,DOAJ
2542-4823,DOAJ
2215-020X,DOAJ
0379-038X,DOAJ
2277-9167,DOAJ
1809-4864,DOAJ
2234-6163,DOAJ
2662-9992,DOAJ
0037-9409,DOAJ
0254-0223,DOAJ
2107-6839,DOAJ
1252-607X,DOAJ
1961-9502,DOAJ
2100-014X,DOAJ
1779-6288,DOAJ
0990-7440,DOAJ
2257-7750,DOAJ
2257-6614,DOAJ
2426-8887,DOAJ
2493-9439,DOAJ
2050-490X,DOAJ
2491-9292,DOAJ
1294-4475,DOAJ
2267-3059,DOAJ
2681-4617,DOAJ
2557-0250,DOAJ
2261-2424,DOAJ
2117-4458,DOAJ
2492-6035,DOAJ
2261-236X,DOAJ
2097-1168,DOAJ
2271-2097,DOAJ
2608-1326,DOAJ
2265-4224,DOAJ
2267-1242,DOAJ
2272-2394,DOAJ
2556-8779,DOAJ
2804-7699,DOAJ
2826-1275,DOAJ
2046-2441,DOAJ
2054-5703,DOAJ
1534-4320,DOAJ
1939-1404,DOAJ
1943-0647,DOAJ
2168-2372,DOAJ
2329-9231,DOAJ
2168-6734,DOAJ
2169-3536,DOAJ
2644-1349,DOAJ
2644-1322,DOAJ
2644-1225,DOAJ
2687-7813,DOAJ
2644-1241,DOAJ
2689-1808,DOAJ
2637-6431,DOAJ
2644-1292,DOAJ
2644-1314,DOAJ
2768-7236,DOAJ
2644-1268,DOAJ
2644-1284,DOAJ
2687-7910,DOAJ
2644-1330,DOAJ
2692-8388,DOAJ
2694-085X,DOAJ
2644-1276,DOAJ
1541-6518,DOAJ
1756-8692,DOAJ
0857-4421,DOAJ
1319-1616,DOAJ
1858-3431,DOAJ
1550-333X,DOAJ
2077-1886,DOAJ
1859-0020,DOAJ
2444-9695,DOAJ
2531-0488,DOAJ
1809-2276,DOAJ
0972-9968,DOAJ
2633-6596,DOAJ
2516-1652,DOAJ
2631-357X,DOAJ
0791-8437,DOAJ
2055-5911,DOAJ
2398-4007,DOAJ
2632-7627,DOAJ
2210-8327,DOAJ
1229-988X,DOAJ
2077-5504,DOAJ
1727-2645,DOAJ
2631-3871,DOAJ
2399-6439,DOAJ
2615-9821,DOAJ
2515-8961,DOAJ
2633-1225,DOAJ
2205-149X,DOAJ
2459-9700,DOAJ
2719-2377,DOAJ
2398-7294,DOAJ
2397-7604,DOAJ
2399-9802,DOAJ
2515-964X,DOAJ
2514-4774,DOAJ
0973-1954,DOAJ
2631-3030,DOAJ
2632-0487,DOAJ
2516-158X,DOAJ
2516-8142,DOAJ
2632-279X,DOAJ
2444-8451,DOAJ
2514-5789,DOAJ
2071-1395,DOAJ
2586-3932,DOAJ
2160-1836,DOAJ
2090-0147,DOAJ
2090-312X,DOAJ
1687-7195,DOAJ
0962-9351,DOAJ
1687-5966,DOAJ
1110-662X,DOAJ
2090-0597,DOAJ
1687-9260,DOAJ
1687-966X,DOAJ
1687-9325,DOAJ
2090-1429,DOAJ
0161-1712,DOAJ
2090-2727,DOAJ
1687-7667,DOAJ
1687-8159,DOAJ
1687-6962,DOAJ
1472-3646,DOAJ
2090-1860,DOAJ
2090-3049,DOAJ
1687-9635,DOAJ
1687-918X,DOAJ
1687-9597,DOAJ
2090-2824,DOAJ
1687-7969,DOAJ
1687-8728,DOAJ
0882-7516,DOAJ
2090-1240,DOAJ
2090-0708,DOAJ
1537-744X,DOAJ
2090-150X,DOAJ
1687-9201,DOAJ
2090-1976,DOAJ
2090-2204,DOAJ
2042-0099,DOAJ
1468-8115,DOAJ
1687-6415,DOAJ
1687-5893,DOAJ
2090-1445,DOAJ
1687-9724,DOAJ
1110-757X,DOAJ
1687-6075,DOAJ
1687-9643,DOAJ
2090-1933,DOAJ
1357-714X,DOAJ
1687-7357,DOAJ
2090-2840,DOAJ
1687-9309,DOAJ
1687-4188,DOAJ
1687-952X,DOAJ
1687-9422,DOAJ
2090-0252,DOAJ
1687-7578,DOAJ
2042-0048,DOAJ
1026-0226,DOAJ
2090-1844,DOAJ
0953-4180,DOAJ
1687-6369,DOAJ
1687-8876,DOAJ
2090-0724,DOAJ
1550-1329,DOAJ
1687-5869,DOAJ
1687-9600,DOAJ
2090-2867,DOAJ
1687-4757,DOAJ
1687-9147,DOAJ
2090-1321,DOAJ
2042-0064,DOAJ
1687-7063,DOAJ
1687-479X,DOAJ
1687-708X,DOAJ
1687-8639,DOAJ
1687-8086,DOAJ
1687-9104,DOAJ
2042-0072,DOAJ
1687-9503,DOAJ
1687-8760,DOAJ
1076-2787,DOAJ
2090-2247,DOAJ
2090-0023,DOAJ
2090-1267,DOAJ
1687-8191,DOAJ
1687-7101,DOAJ
2090-2654,DOAJ
0146-9428,DOAJ
1070-9622,DOAJ
1687-9120,DOAJ
1687-9384,DOAJ
1023-621X,DOAJ
1687-5249,DOAJ
1687-8434,DOAJ
1687-6105,DOAJ
1687-8108,DOAJ
1687-5915,DOAJ
1687-9708,DOAJ
2090-004X,DOAJ
1687-885X,DOAJ
1687-5443,DOAJ
2090-0384,DOAJ
1687-8477,DOAJ
1687-5605,DOAJ
0197-6729,DOAJ
2314-615X,DOAJ
2090-1402,DOAJ
2090-0007,DOAJ
2090-0430,DOAJ
1687-8337,DOAJ
2042-0080,DOAJ
1687-8558,DOAJ
2090-195X,DOAJ
2090-0201,DOAJ
2042-0056,DOAJ
1687-6121,DOAJ
1085-3375,DOAJ
1203-6765,DOAJ
1687-9368,DOAJ
2090-214X,DOAJ
1687-9686,DOAJ
1687-806X,DOAJ
0966-7903,DOAJ
2090-1305,DOAJ
2090-2093,DOAJ
1176-2322,DOAJ
1687-8787,DOAJ
1687-7047,DOAJ
2090-9071,DOAJ
2090-6919,DOAJ
2090-6455,DOAJ
2090-6692,DOAJ
2090-6773,DOAJ
2090-7141,DOAJ
2090-6463,DOAJ
2090-3456,DOAJ
2090-6870,DOAJ
2090-6633,DOAJ
2090-3529,DOAJ
2090-6757,DOAJ
2090-2913,DOAJ
2090-6676,DOAJ
2090-3464,DOAJ
2090-6730,DOAJ
2090-3189,DOAJ
2090-4010,DOAJ
2090-6978,DOAJ
2090-6951,DOAJ
2314-4629,DOAJ
2090-3057,DOAJ
2090-6811,DOAJ
2090-6552,DOAJ
2090-6382,DOAJ
2090-6897,DOAJ
2090-665X,DOAJ
2090-6854,DOAJ
2090-6536,DOAJ
2090-7001,DOAJ
2090-6498,DOAJ
2090-3480,DOAJ
2090-6404,DOAJ
2090-6838,DOAJ
2090-6706,DOAJ
2090-679X,DOAJ
2090-6579,DOAJ
2314-5765,DOAJ
2090-6994,DOAJ
2090-6420,DOAJ
2090-651X,DOAJ
2314-6176,DOAJ
2356-6124,DOAJ
2314-4904,DOAJ
2090-6595,DOAJ
2314-4386,DOAJ
2314-436X,DOAJ
2296-9373,DOAJ
2314-6745,DOAJ
2314-7784,DOAJ
2314-5749,DOAJ
2090-6617,DOAJ
2090-8873,DOAJ
2090-7850,DOAJ
2090-3553,DOAJ
2314-4327,DOAJ
1687-5680,DOAJ
2090-908X,DOAJ
1064-7449,DOAJ
2633-4690,DOAJ
2314-758X,DOAJ
2314-8888,DOAJ
2314-7539,DOAJ
1687-9740,DOAJ
2314-4939,DOAJ
2314-5757,DOAJ
2314-7156,DOAJ
2633-4674,DOAJ
2353-8414,DOAJ
1817-406X,DOAJ
1687-6172,DOAJ
1939-8425,DOAJ
1286-4560,DOAJ
0957-4530,DOAJ
1745-6215,DOAJ
2190-5991,DOAJ
0043-6275,DOAJ
0102-7972,DOAJ
1933-9747,DOAJ
1750-0680,DOAJ
1367-5435,DOAJ
2150-5551,DOAJ
1556-276X,DOAJ
2210-7177,DOAJ
2190-4715,DOAJ
1467-4866,DOAJ
1866-8887,DOAJ
1025-5834,DOAJ
1435-0211,DOAJ
1674-800X,DOAJ
1124-4909,DOAJ
2198-4026,DOAJ
2196-7822,DOAJ
2196-1115,DOAJ
2196-0763,DOAJ
2194-7511,DOAJ
2193-2697,DOAJ
2195-2701,DOAJ
2197-1927,DOAJ
2193-8997,DOAJ
2213-9621,DOAJ
2196-2804,DOAJ
2197-7364,DOAJ
2229-0443,DOAJ
2198-4034,DOAJ
2197-4365,DOAJ
2050-7445,DOAJ
2045-7022,DOAJ
2288-8586,DOAJ
2193-9004,DOAJ
2051-5960,DOAJ
2001-1326,DOAJ
2194-7791,DOAJ
2191-219X,DOAJ
0016-6987,DOAJ
2195-9706,DOAJ
2509-9280,DOAJ
2363-5169,DOAJ
2213-7467,DOAJ
2199-4536,DOAJ
1550-2783,DOAJ
2199-8531,DOAJ
2731-4537,DOAJ
0341-2687,DOAJ
2510-523X,DOAJ
2363-8427,DOAJ
2092-9196,DOAJ
2194-1459,DOAJ
2731-4383,DOAJ
2523-8930,DOAJ
2198-994X,DOAJ
2731-5525,DOAJ
2731-6106,DOAJ
2731-5843,DOAJ
2731-9431,DOAJ
2731-5835,DOAJ
2731-8389,DOAJ
2045-2322,DOAJ
1884-4049,DOAJ
2041-1723,DOAJ
2052-4463,DOAJ
2056-7944,DOAJ
2056-6387,DOAJ
2057-3995,DOAJ
2373-8057,DOAJ
2052-7276,DOAJ
2055-1010,DOAJ
2399-3642,DOAJ
2373-8065,DOAJ
2662-4443,DOAJ
2661-8001,DOAJ
2662-4435,DOAJ
2730-664X,DOAJ
2397-4621,DOAJ
2057-3960,DOAJ
2399-3669,DOAJ
2397-768X,DOAJ
2397-2106,DOAJ
2398-6352,DOAJ
2056-7189,DOAJ
2055-5008,DOAJ
2163-8306,DOAJ
2059-0105,DOAJ
2374-4677,DOAJ
2059-7037,DOAJ
2399-3650,DOAJ
2056-3973,DOAJ
2396-8370,DOAJ
2397-3722,DOAJ
2397-4648,DOAJ
2397-7132,DOAJ
2334-265X,DOAJ
2056-7936,DOAJ
2036-7457,DOAJ
2398-9238,DOAJ
0034-0111,DOAJ
2044-6055,DOAJ
2052-4439,DOAJ
2056-5933,DOAJ
2051-1426,DOAJ
2055-7647,DOAJ
2053-8790,DOAJ
2059-7908,DOAJ
2052-4897,DOAJ
2054-4774,DOAJ
2516-5542,DOAJ
2397-5776,DOAJ
2053-3624,DOAJ
2059-8688,DOAJ
2052-6113,DOAJ
2632-1009,DOAJ
2631-4940,DOAJ
2399-6641,DOAJ
2397-3269,DOAJ
2754-0413,DOAJ
2399-9772,DOAJ
2632-6140,DOAJ
1226-3613,DOAJ
2191-0855,DOAJ
1990-2573,DOAJ
1674-2818,DOAJ
1687-1839,DOAJ
1661-8726,DOAJ
1757-4676,DOAJ
1343-8832,DOAJ
1687-2762,DOAJ
2041-4889,DOAJ
1129-2369,DOAJ
1590-9921,DOAJ
1976-0485,DOAJ
2158-3188,DOAJ
1744-4292,DOAJ
1687-5176,DOAJ
1869-4101,DOAJ
1672-6421,DOAJ
1687-4714,DOAJ
1687-1472,DOAJ
1875-6883,DOAJ
2110-5820,DOAJ
2047-7538,DOAJ
2193-1127,DOAJ
2192-113X,DOAJ
2044-4052,DOAJ
2044-5385,DOAJ
2195-7045,DOAJ
2198-9761,DOAJ
2192-0567,DOAJ
2195-2248,DOAJ
2197-1153,DOAJ
2197-4284,DOAJ
2198-7793,DOAJ
2198-0802,DOAJ
2214-594X,DOAJ
2196-5641,DOAJ
2199-1197,DOAJ
2197-4225,DOAJ
2197-8670,DOAJ
2193-2409,DOAJ
2059-3635,DOAJ
2197-425X,DOAJ
2041-7128,DOAJ
2055-7434,DOAJ
1869-5760,DOAJ
2198-2791,DOAJ
2196-5404,DOAJ
2196-4092,DOAJ
2054-345X,DOAJ
1664-2376,DOAJ
2093-3134,DOAJ
2095-4700,DOAJ
2211-7938,DOAJ
2192-5372,DOAJ
1976-6912,DOAJ
2058-7716,DOAJ
2363-9024,DOAJ
2468-0834,DOAJ
1538-7887,DOAJ
2190-5495,DOAJ
2192-1709,DOAJ
2190-0566,DOAJ
2056-5968,DOAJ
2234-6198,DOAJ
2193-7532,DOAJ
2365-421X,DOAJ
2364-4575,DOAJ
2520-8942,DOAJ
2509-8020,DOAJ
2366-0074,DOAJ
2509-8012,DOAJ
2364-8228,DOAJ
2190-5983,DOAJ
2662-1991,DOAJ
2364-3412,DOAJ
2520-1786,DOAJ
2662-2521,DOAJ
2524-8987,DOAJ
2365-7464,DOAJ
2364-9534,DOAJ
2522-5774,DOAJ
2510-3636,DOAJ
2520-8934,DOAJ
2730-5422,DOAJ
2662-4966,DOAJ
2364-1177,DOAJ
2524-7867,DOAJ
2730-7239,DOAJ
2730-6151,DOAJ
2730-7700,DOAJ
2590-0048,DOAJ
2731-4286,DOAJ
2157-9024,DOAJ
2523-3963,DOAJ
1017-0839,DOAJ
2730-6011,DOAJ
2731-0809,DOAJ
2730-7034,DOAJ
2730-7727,DOAJ
2662-9984,DOAJ
2523-398X,DOAJ
2667-1336,DOAJ
2056-807X,DOAJ
2731-0469,DOAJ
0218-2203,DOAJ
2666-9862,DOAJ
2730-647X,DOAJ
2010-1333,DOAJ
2590-3349,DOAJ
2364-0022,DOAJ
1476-069X,DOAJ
1542-6416,DOAJ
1813-7253,DOAJ
1748-5908,DOAJ
1749-799X,DOAJ
1465-5411,DOAJ
1752-1505,DOAJ
1472-684X,DOAJ
1471-2369,DOAJ
2044-5040,DOAJ
1758-5996,DOAJ
1752-1947,DOAJ
1872-9312,DOAJ
1471-2180,DOAJ
1756-8722,DOAJ
1471-230X,DOAJ
1472-6750,DOAJ
1471-2466,DOAJ
1742-4755,DOAJ
1475-9276,DOAJ
1425-8153,DOAJ
1880-7046,DOAJ
1756-0381,DOAJ
1476-7120,DOAJ
1865-1372,DOAJ
1478-4491,DOAJ
1476-4598,DOAJ
1741-7007,DOAJ
0716-078X,DOAJ
1546-0096,DOAJ
1936-6426,DOAJ
1474-7596,DOAJ
1741-7015,DOAJ
1480-9222,DOAJ
1475-2891,DOAJ
1750-9378,DOAJ
1748-7188,DOAJ
1746-1596,DOAJ
1746-6148,DOAJ
1479-5876,DOAJ
1097-6647,DOAJ
1756-8935,DOAJ
1477-7827,DOAJ
1472-6963,DOAJ
1880-6546,DOAJ
1758-9193,DOAJ
1742-9994,DOAJ
1757-6512,DOAJ
1747-1028,DOAJ
1472-6939,DOAJ
1475-2859,DOAJ
1476-511X,DOAJ
1476-9255,DOAJ
1755-8166,DOAJ
1748-717X,DOAJ
1743-422X,DOAJ
1348-8945,DOAJ
1757-7241,DOAJ
1475-2840,DOAJ
1742-4690,DOAJ
1472-6947,DOAJ
1745-6150,DOAJ
1471-2318,DOAJ
1477-7517,DOAJ
1471-2164,DOAJ
1745-6673,DOAJ
1606-0997,DOAJ
1470-7330,DOAJ
1756-3305,DOAJ
2041-1480,DOAJ
1471-2458,DOAJ
1749-8104,DOAJ
1472-6955,DOAJ
1742-7622,DOAJ
1471-2431,DOAJ
1742-2094,DOAJ
2730-6844,DOAJ
1742-4933,DOAJ
2045-3701,DOAJ
0928-4249,DOAJ
2040-2392,DOAJ
1747-597X,DOAJ
1744-9081,DOAJ
1749-7922,DOAJ
1471-2377,DOAJ
1471-227X,DOAJ
1744-859X,DOAJ
1471-2202,DOAJ
1743-7075,DOAJ
1472-6823,DOAJ
1476-0711,DOAJ
2046-4053,DOAJ
1471-244X,DOAJ
1757-1146,DOAJ
1868-7075,DOAJ
1749-8090,DOAJ
1478-811X,DOAJ
1749-8546,DOAJ
1757-2215,DOAJ
1477-3155,DOAJ
1746-4811,DOAJ
1756-6606,DOAJ
2041-9139,DOAJ
1742-6405,DOAJ
1479-5868,DOAJ
1746-4269,DOAJ
1750-1172,DOAJ
1758-2946,DOAJ
1471-2393,DOAJ
1472-6874,DOAJ
1590-4261,DOAJ
1471-2253,DOAJ
1471-2474,DOAJ
1756-0500,DOAJ
0949-2321,DOAJ
1471-2407,DOAJ
1471-2415,DOAJ
1747-5341,DOAJ
1755-8794,DOAJ
1478-7954,DOAJ
1477-9560,DOAJ
1477-7525,DOAJ
1753-2000,DOAJ
1754-9493,DOAJ
1880-6791,DOAJ
0716-9760,DOAJ
1750-1326,DOAJ
0999-193X,DOAJ
1076-1551,DOAJ
1746-4358,DOAJ
1754-1611,DOAJ
1756-6614,DOAJ
1471-2172,DOAJ
1710-1484,DOAJ
1752-4458,DOAJ
1940-0632,DOAJ
1475-2867,DOAJ
1720-8424,DOAJ
1478-6354,DOAJ
1472-6831,DOAJ
1751-0759,DOAJ
1477-7819,DOAJ
1753-6561,DOAJ
1471-2482,DOAJ
1555-8932,DOAJ
1746-160X,DOAJ
1756-994X,DOAJ
1476-072X,DOAJ
1471-2342,DOAJ
1471-2105,DOAJ
1731-2302,DOAJ
1868-6966,DOAJ
1744-8603,DOAJ
1756-9966,DOAJ
1475-925X,DOAJ
1478-4505,DOAJ
1471-2334,DOAJ
1743-8977,DOAJ
1743-0003,DOAJ
1471-2261,DOAJ
1757-4749,DOAJ
1476-7961,DOAJ
