cr_year,issn_l,oa_all,n,prop
2018,0014-3820,29,256,0.11328125
2018,0014-4797,7,45,0.15555555555555556
2018,0014-4819,44,294,0.14965986394557823
2018,0014-4827,29,423,0.06855791962174941
2018,0014-4835,25,257,0.09727626459143969
2018,0014-4851,6,93,0.06451612903225806
2018,0014-4886,14,212,0.0660377358490566
2018,0014-4894,3,141,0.02127659574468085
2018,0014-4940,1,48,0.020833333333333332
2018,0014-4983,2,29,0.06896551724137931
2018,0014-5793,43,347,0.1239193083573487
2018,0015-0282,12,1649,0.0072771376591873865
2018,0015-198X,1,32,0.03125
2018,0015-2684,13,111,0.11711711711711711
2018,0015-5632,7,94,0.07446808510638298
2018,0015-749X,1,88,0.011363636363636364
2018,0015-752X,1,54,0.018518518518518517
2018,0015-7899,1,34,0.029411764705882353
2018,0015-8208,4,56,0.07142857142857142
2018,0015-9018,12,98,0.12244897959183673
2018,0016-0032,2,445,0.0044943820224719105
2018,0016-1128,1,314,0.0031847133757961785
2018,0016-2361,37,1671,0.022142429682824656
2018,0016-3287,7,95,0.07368421052631578
2018,0016-5085,34,822,0.0413625304136253
2018,0016-5107,6,1801,0.003331482509716824
2018,0016-5751,74,396,0.18686868686868688
2018,0016-6480,11,308,0.03571428571428571
2018,0016-6707,1,44,0.022727272727272728
2018,0016-7037,45,469,0.09594882729211088
2018,0016-7185,20,219,0.091324200913242
2018,0016-7363,1,28,0.03571428571428571
2018,0016-7398,6,41,0.14634146341463414
2018,0016-7568,1,85,0.011764705882352941
2018,0016-7649,12,77,0.15584415584415584
2018,0016-8025,4,119,0.03361344537815126
2018,0016-8521,1,41,0.024390243902439025
2018,0016-8777,1,30,0.03333333333333333
2018,0016-9013,8,192,0.041666666666666664
2018,0016-9420,9,51,0.17647058823529413
2018,0017-257X,1,54,0.018518518518518517
2018,0017-3134,2,24,0.08333333333333333
2018,0017-467X,12,108,0.1111111111111111
2018,0017-5994,7,189,0.037037037037037035
2018,0017-6192,3,133,0.022556390977443608
2018,0017-8470,7,164,0.042682926829268296
2018,0017-8748,8,194,0.041237113402061855
2018,0017-9078,2,233,0.008583690987124463
2018,0017-9124,7,131,0.05343511450381679
2018,0017-9310,10,1701,0.005878894767783657
2018,0018-019X,6,56,0.10714285714285714
2018,0018-067X,33,134,0.2462686567164179
2018,0018-1196,1,284,0.0035211267605633804
2018,0018-1560,30,129,0.23255813953488372
2018,0018-246X,3,59,0.05084745762711865
2018,0018-2613,6,638,0.009404388714733543
2018,0018-2648,5,192,0.026041666666666668
2018,0018-3768,9,98,0.09183673469387756
2018,0018-3830,3,143,0.02097902097902098
2018,0018-5043,1,118,0.00847457627118644
2018,0018-506X,2,178,0.011235955056179775
2018,0018-716X,1,34,0.029411764705882353
2018,0018-7208,1,106,0.009433962264150943
2018,0018-8158,46,380,0.12105263157894737
2018,0018-9197,1,135,0.007407407407407408
2018,0018-9200,2,385,0.005194805194805195
2018,0018-9219,8,213,0.03755868544600939
2018,0018-9251,2,260,0.007692307692307693
2018,0018-926X,5,961,0.005202913631633715
2018,0018-9286,2,523,0.0038240917782026767
2018,0018-9294,7,335,0.020895522388059702
2018,0018-9340,2,148,0.013513513513513514
2018,0018-9383,12,878,0.01366742596810934
2018,0018-9448,1,548,0.0018248175182481751
2018,0018-9480,6,637,0.009419152276295133
2018,0018-9499,15,470,0.031914893617021274
2018,0018-9545,23,1158,0.019861830742659757
2018,0018-9855,7,59,0.11864406779661017
2018,0019-1019,12,127,0.09448818897637795
2018,0019-1035,34,402,0.0845771144278607
2018,0019-2805,21,140,0.15
2018,0019-4670,1,23,0.043478260869565216
2018,0019-4964,1,18,0.05555555555555555
2018,0019-5294,2,21,0.09523809523809523
2018,0019-5308,1,36,0.027777777777777776
2018,0019-5456,2,258,0.007751937984496124
2018,0019-5480,1,197,0.005076142131979695
2018,0019-6061,29,224,0.12946428571428573
2018,0019-7246,1,22,0.045454545454545456
2018,0019-7262,1,14,0.07142857142857142
2018,0019-8501,3,158,0.0189873417721519
2018,0019-8676,1,20,0.05
2018,0019-8692,2,32,0.0625
2018,0020-0190,3,158,0.0189873417721519
2018,0020-0255,5,753,0.006640106241699867
2018,0020-1383,10,386,0.025906735751295335
2018,0020-1693,3,762,0.003937007874015748
2018,0020-174X,3,68,0.04411764705882353
2018,0020-1812,8,83,0.0963855421686747
2018,0020-2754,18,52,0.34615384615384615
2018,0020-2967,1,65,0.015384615384615385
2018,0020-4277,9,36,0.25
2018,0020-5850,4,280,0.014285714285714285
2018,0020-5893,1,48,0.020833333333333332
2018,0020-6598,8,118,0.06779661016949153
2018,0020-7047,11,43,0.2558139534883721
2018,0020-7128,21,157,0.1337579617834395
2018,0020-7136,104,611,0.1702127659574468
2018,0020-7160,3,145,0.020689655172413793
2018,0020-7179,8,295,0.02711864406779661
2018,0020-7187,6,24,0.25
2018,0020-7225,1,125,0.008
2018,0020-7276,10,48,0.20833333333333334
2018,0020-7292,25,263,0.09505703422053231
2018,0020-7403,9,575,0.01565217391304348
2018,0020-7438,1,130,0.007692307692307693
2018,0020-7462,3,190,0.015789473684210527
2018,0020-7489,22,199,0.11055276381909548
2018,0020-7519,22,126,0.1746031746031746
2018,0020-7543,6,469,0.01279317697228145
2018,0020-7594,3,74,0.04054054054054054
2018,0020-7659,3,14,0.21428571428571427
2018,0020-7683,16,375,0.042666666666666665
2018,0020-7985,11,108,0.10185185185185185
2018,0020-8132,2,66,0.030303030303030304
2018,0020-8167,1,46,0.021739130434782608
2018,0020-8523,2,56,0.03571428571428571
2018,0020-8566,2,52,0.038461538461538464
2018,0020-8582,1,49,0.02040816326530612
2018,0020-8701,1,34,0.029411764705882353
2018,0020-871X,1,30,0.03333333333333333
2018,0020-8825,3,27,0.1111111111111111
2018,0020-8833,3,68,0.04411764705882353
2018,0020-9554,3,167,0.017964071856287425
2018,0020-9910,10,62,0.16129032258064516
2018,0020-9996,13,99,0.13131313131313133
2018,0021-0862,1,73,0.0136986301369863
2018,0021-1214,1,57,0.017543859649122806
2018,0021-1265,6,214,0.028037383177570093
2018,0021-1818,1,49,0.02040816326530612
2018,0021-2148,2,143,0.013986013986013986
2018,0021-2172,1,168,0.005952380952380952
2018,0021-3624,1,80,0.0125
2018,0021-4027,5,36,0.1388888888888889
2018,0021-4922,32,1311,0.02440884820747521
2018,0021-7670,2,63,0.031746031746031744
2018,0021-8308,2,34,0.058823529411764705
2018,0021-843X,1,132,0.007575757575757576
2018,0021-8464,1,50,0.02
2018,0021-8502,6,146,0.0410958904109589
2018,0021-8529,1,79,0.012658227848101266
2018,0021-8553,1,26,0.038461538461538464
2018,0021-857X,4,52,0.07692307692307693
2018,0021-8596,6,143,0.04195804195804196
2018,0021-8693,4,503,0.007952286282306162
2018,0021-8758,2,185,0.010810810810810811
2018,0021-8782,19,149,0.12751677852348994
2018,0021-8790,20,133,0.15037593984962405
2018,0021-8812,16,2360,0.006779661016949152
2018,0021-8820,3,136,0.022058823529411766
2018,0021-8839,1,75,0.013333333333333334
2018,0021-8855,2,101,0.019801980198019802
2018,0021-8898,38,201,0.1890547263681592
2018,0021-8901,37,224,0.16517857142857142
2018,0021-891X,4,133,0.03007518796992481
2018,0021-8995,8,1128,0.0070921985815602835
2018,0021-9029,6,59,0.1016949152542373
2018,0021-9150,44,1330,0.03308270676691729
2018,0021-924X,5,120,0.041666666666666664
2018,0021-9266,1,71,0.014084507042253521
2018,0021-9290,20,464,0.04310344827586207
2018,0021-9320,9,48,0.1875
2018,0021-9355,17,428,0.0397196261682243
2018,0021-9517,10,427,0.0234192037470726
2018,0021-9525,54,323,0.16718266253869968
2018,0021-9533,8,489,0.016359918200409
2018,0021-9541,52,1553,0.0334835801674179
2018,0021-9614,2,310,0.0064516129032258064
2018,0021-9630,25,138,0.18115942028985507
2018,0021-9673,32,800,0.04
2018,0021-972X,40,623,0.06420545746388442
2018,0021-9762,8,152,0.05263157894736842
2018,0021-9797,15,1250,0.012
2018,0021-9886,12,103,0.11650485436893204
2018,0021-9894,1,64,0.015625
